,armSkuName,armRegionName,currencyCode,tierMinimumUnits,retailPrice,unitPrice,location,effectiveStartDate,meterId,meterName,productId,skuId,availabilityId,productName,skuName,serviceName,serviceId,serviceFamily,unitOfMeasure,type,isPrimaryMeterRegion,mismatched_reason
0,Standard_E48s_v5,norwaywest,USD,0.0,26962.0,26962.0,NO West,2022-05-01T00:00:00Z,dbb16263-7349-5e9f-86ff-bbbd30ae7d4e,E48s v5,DZH318Z096SR,DZH318Z096SR/0B85,,Virtual Machines Esv5 Series,E48s v5,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Reservation,True,mismatched_sku_detail
1,Standard_E48s_v5,norwaywest,USD,0.0,52095.0,52095.0,NO West,2022-05-01T00:00:00Z,dbb16263-7349-5e9f-86ff-bbbd30ae7d4e,E48s v5,DZH318Z096SR,DZH318Z096SR/0B7W,,Virtual Machines Esv5 Series,E48s v5,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Reservation,True,mismatched_sku_detail
2,Standard_D4ls_v5,usgovarizona,USD,0.0,0.0408,0.0408,US Gov AZ,2023-04-01T00:00:00Z,dbb239d9-31ec-5983-9814-ec7b81623b06,D4ls v5 Low Priority,DZH318Z08M9L,DZH318Z08M9L/00MX,,Virtual Machines Dlsv5 Series,D4ls v5 Low Priority,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,mismatched_sku_detail
3,Standard_E16-8as_v4,australiacentral2,USD,0.0,0.7776,0.7776,AU Central 2,2022-12-01T00:00:00Z,dbb71829-f9d4-5ccf-8dbc-1c9c2db797a3,E16-8as_v4 Spot,DZH318Z0CM92,DZH318Z0CM92/034Q,,Virtual Machines Easv4 Series Windows,E16-8as_v4 Spot,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,mismatched_sku_detail
4,Standard_E16-8as_v4,australiacentral2,USD,0.0,0.4832,0.4832,AU Central 2,2022-12-01T00:00:00Z,dbb71829-f9d4-5ccf-8dbc-1c9c2db797a3,E16-8as_v4 Spot,DZH318Z0CM92,DZH318Z0CM92/034Q,,Virtual Machines Easv4 Series Windows,E16-8as_v4 Spot,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,DevTestConsumption,True,mismatched_sku_detail
5,Standard_L8s_v3,germanynorth,USD,0.0,0.1082,0.1082,DE North,2023-03-01T00:00:00Z,dbb7d1d7-be6c-5cfb-88ca-858a849b8192,L8s v3 Spot,DZH318Z08NRP,DZH318Z08NRP/00JM,,Virtual Machines Lsv3 Series Windows,Standard_L8s_v3 Spot,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,DevTestConsumption,True,mismatched_sku_detail
6,Standard_L8s_v3,germanynorth,USD,0.0,0.2175,0.2175,DE North,2023-01-01T00:00:00Z,dbb7d1d7-be6c-5cfb-88ca-858a849b8192,L8s v3 Spot,DZH318Z08NRP,DZH318Z08NRP/00JM,,Virtual Machines Lsv3 Series Windows,Standard_L8s_v3 Spot,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,mismatched_sku_detail
7,Standard_M128ms,usgovvirginia,USD,0.0,6.1725,6.1725,US Gov Virginia,2022-11-01T00:00:00Z,dbbb34b5-392d-5577-b3a2-06d4c2a9f33b,M128ms Spot,DZH318Z0BPW5,DZH318Z0BPW5/01VW,,Virtual Machines MS Series Windows,M128ms Spot,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,mismatched_sku_detail
8,Standard_M208-104s_v2,westus,USD,0.0,29.003,29.003,US West,2020-11-01T00:00:00Z,dbbd08eb-3f9f-5e3d-9d2b-425cccd9dd45,M208-104s_v2,DZH318Z0BX5L,DZH318Z0BX5L/02Q1,,Virtual Machines MSv2 Series,M208-104s_v2,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,False,mismatched_sku_detail
9,Standard_M208-52s_v2,westus,USD,0.0,147762.0,147762.0,US West,2020-11-01T00:00:00Z,dbbd08eb-3f9f-5e3d-9d2b-425cccd9dd45,M208-52s_v2,DZH318Z0BX5L,DZH318Z0BX5L/02KV,,Virtual Machines MSv2 Series,M208-52s_v2,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Reservation,False,mismatched_sku_detail
10,Standard_M208-52s_v2,westus,USD,0.0,29.003,29.003,US West,2020-11-01T00:00:00Z,dbbd08eb-3f9f-5e3d-9d2b-425cccd9dd45,M208-52s_v2,DZH318Z0BX5L,DZH318Z0BX5L/02KQ,,Virtual Machines MSv2 Series,M208-52s_v2,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,False,mismatched_sku_detail
