,armSkuName,armRegionName,currencyCode,tierMinimumUnits,retailPrice,unitPrice,location,effectiveStartDate,meterId,meterName,productId,skuId,productName,skuName,serviceName,serviceId,serviceFamily,unitOfMeasure,type,isPrimaryMeterRegion,mismatched_reason
0,Standard_D4d_v5,westindia,USD,0.0,0.189,0.189,IN West,2021-11-01T00:00:00Z,9a474db7-f448-597c-a9c1-7bcc11cd4846,D4d v5 Low Priority,DZH318Z08M9F,DZH318Z08M9F/01C0,Virtual Machines Ddv5 Series Windows,Standard_D4d_v5 Low Priority,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,mismatched_sku_detail
1,Standard_D4d_v5,westindia,USD,0.0,0.0579,0.0579,IN West,2021-11-01T00:00:00Z,9a474db7-f448-597c-a9c1-7bcc11cd4846,D4d v5 Low Priority,DZH318Z08M9F,DZH318Z08M9F/01C0,Virtual Machines Ddv5 Series Windows,Standard_D4d_v5 Low Priority,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,DevTestConsumption,True,mismatched_sku_detail
2,Standard_L8s_v3,southafricawest,USD,0.0,13144.0,13144.0,ZA West,2022-09-01T00:00:00Z,9a48cb39-e2ca-5326-866e-89324cb6355d,L8s v3,DZH318Z08NR7,DZH318Z08NR7/0246,Virtual Machines Lsv3 Series,Standard_L8s_v3,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Reservation,True,mismatched_sku_detail
3,Standard_L8s_v3,southafricawest,USD,0.0,1.191,1.191,ZA West,2022-09-01T00:00:00Z,9a48cb39-e2ca-5326-866e-89324cb6355d,L8s v3,DZH318Z08NR7,DZH318Z08NR7/00ZW,Virtual Machines Lsv3 Series,Standard_L8s_v3,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,mismatched_sku_detail
4,Standard_L8s_v3,southafricawest,USD,0.0,6676.0,6676.0,ZA West,2022-09-01T00:00:00Z,9a48cb39-e2ca-5326-866e-89324cb6355d,L8s v3,DZH318Z08NR7,DZH318Z08NR7/024F,Virtual Machines Lsv3 Series,Standard_L8s_v3,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Reservation,True,mismatched_sku_detail
5,Standard_GS3,usgovvirginia,USD,0.0,0.22,0.22,US Gov Virginia,2022-02-01T00:00:00Z,9a4bc25a-79b5-5d54-a5aa-1e9029d34173,GS3 Spot,DZH318Z0BPSN,DZH318Z0BPSN/008J,Virtual Machines GS Series,GS3 Spot,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,mismatched_sku_detail
6,Standard_E96-24as_v5,usgovarizona,USD,0.0,1.306,1.306,US Gov AZ,2023-05-01T00:00:00Z,9a4d036d-6719-5743-a3eb-0bd04b08f26b,E96-24as v5 Low Priority,DZH318Z093WZ,DZH318Z093WZ/076F,Virtual Machines Easv5 Series,E96-24as v5 Low Priority,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,mismatched_sku_detail
7,Standard_D2s_v5,uaecentral,USD,0.0,0.0306,0.0306,AE Central,2021-11-01T00:00:00Z,9a50760a-1e47-5ff0-ad50-825a95d44a88,D2s v5 Low Priority,DZH318Z08M9W,DZH318Z08M9W/00SG,Virtual Machines Dsv5 Series,Standard_D2s_v5 Low Priority,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,mismatched_sku_detail
8,Standard_DS14,southafricawest,USD,0.0,0.2331,0.2331,ZA West,2022-02-01T00:00:00Z,9a51e33a-c1b6-52d9-a925-c14b708e1fc4,DS14 Spot,DZH318Z0BPW4,DZH318Z0BPW4/00GN,Virtual Machines DS Series Windows,DS14 Spot,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,DevTestConsumption,True,mismatched_sku_detail
9,Standard_DS14,southafricawest,USD,0.0,0.434901,0.434901,ZA West,2023-05-01T00:00:00Z,9a51e33a-c1b6-52d9-a925-c14b708e1fc4,DS14 Spot,DZH318Z0BPW4,DZH318Z0BPW4/00GN,Virtual Machines DS Series Windows,DS14 Spot,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,mismatched_sku_detail
10,Standard_D48pls_v5,centralindia,USD,0.0,0.32704,0.32704,IN Central,2023-05-01T00:00:00Z,9a51f5cd-15ba-5012-a849-d4d117cf3369,D48pls v5 Spot,DZH318Z092S2,DZH318Z092S2/00MT,Virtual Machines Dplsv5 Series,Standard_D48pls_v5 Spot,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,mismatched_sku_detail
11,Standard_E32-16ds_v5,attdallas1,USD,0.0,0.746,0.746,ATT Dallas 1,2022-04-01T00:00:00Z,9a522ec2-08b5-5c46-ab1c-a145eb916c29,E32-16ds v5 Low Priority,DZH318Z096SN,DZH318Z096SN/03XS,Virtual Machines Edsv5 Series,E32-16ds v5 Low Priority,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,mismatched_sku_detail
12,Standard_E96iads_v5,southafricanorth,USD,0.0,9.134,9.134,ZA North,2022-07-01T00:00:00Z,9a52b1d7-58d1-5724-8760-fde682b6c3d0,E96iads v5,DZH318Z093X0,DZH318Z093X0/04P1,Virtual Machines Eadsv5 Series,E96iads v5,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,mismatched_sku_detail
13,Standard_E96iads_v5,southafricanorth,USD,0.0,47210.0,47210.0,ZA North,2022-11-01T00:00:00Z,9a52b1d7-58d1-5724-8760-fde682b6c3d0,E96iads v5,DZH318Z093X0,DZH318Z093X0/06ZG,Virtual Machines Eadsv5 Series,E96iads v5,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Reservation,True,mismatched_sku_detail
14,Standard_E96iads_v5,southafricanorth,USD,0.0,91220.0,91220.0,ZA North,2022-11-01T00:00:00Z,9a52b1d7-58d1-5724-8760-fde682b6c3d0,E96iads v5,DZH318Z093X0,DZH318Z093X0/06ZC,Virtual Machines Eadsv5 Series,E96iads v5,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Reservation,True,mismatched_sku_detail
